name,play
CAPHIS,THE LIFE OF TIMON OF ATHENS
GROOM,DUCHESS OF YORK
OLD ATHENIAN,THE LIFE OF TIMON OF ATHENS
FIRST LADY,THE LIFE OF TIMON OF ATHENS
YORK,DUCHESS OF YORK
KATHERINA,THE TAMING OF THE SHREW
THIRD LORD,"PERICLES, PRINCE OF TYRE"
CURTIS,THE TAMING OF THE SHREW
GHOST OF VAUGHAN,SHERIFF OF WILTSHIRE
SECOND SERVANT,THE TAMING OF THE SHREW
LUCIUS,THE LIFE OF TIMON OF ATHENS
NORTHUMBERLAND,DUCHESS OF YORK
ARCHBISHOP,SHERIFF OF WILTSHIRE
SECOND WATCH,THE TRAGEDY OF ROMEO AND JULIET
PRINCE,SHERIFF OF WILTSHIRE
FRIAR JOHN,THE TRAGEDY OF ROMEO AND JULIET
KEEPER,DUCHESS OF YORK
GENTLEMAN,SHERIFF OF WILTSHIRE
THIRD LORD,THE LIFE OF TIMON OF ATHENS
PETRUCHIO,THE TAMING OF THE SHREW
SECOND CITIZEN,SHERIFF OF WILTSHIRE
LYSIMACHUS,"PERICLES, PRINCE OF TYRE"
DORSET,SHERIFF OF WILTSHIRE
FIRST MURDERER,SHERIFF OF WILTSHIRE
AUMERLE,DUCHESS OF YORK
THE PROLOGUE,THE TRAGEDY OF ROMEO AND JULIET
BRAKENBURY,SHERIFF OF WILTSHIRE
FIRST WATCH,THE TRAGEDY OF ROMEO AND JULIET
ALL LORDS,THE LIFE OF TIMON OF ATHENS
SERVANT,DUCHESS OF YORK
FIRST CITIZEN,SHERIFF OF WILTSHIRE
RIVERS,SHERIFF OF WILTSHIRE
NATHANIEL,THE TAMING OF THE SHREW
SERVINGMAN,DUCHESS OF YORK
PERCY,DUCHESS OF YORK
NURSE,THE TRAGEDY OF ROMEO AND JULIET
NORFOLK,SHERIFF OF WILTSHIRE
JUNO,MASTER OF A SHIP
WIDOW,THE TAMING OF THE SHREW
ESCANES,"PERICLES, PRINCE OF TYRE"
TAILOR,THE TAMING OF THE SHREW
TRINCULO,MASTER OF A SHIP
CALIBAN,MASTER OF A SHIP
THIRD STRANGER,THE LIFE OF TIMON OF ATHENS
SECOND PIRATE,"PERICLES, PRINCE OF TYRE"
SECOND SAILOR,"PERICLES, PRINCE OF TYRE"
SERVANT,THE LIFE OF TIMON OF ATHENS
SECOND FISHERMAN,"PERICLES, PRINCE OF TYRE"
RICHARD,SHERIFF OF WILTSHIRE
SLY,THE TAMING OF THE SHREW
GOWER,"PERICLES, PRINCE OF TYRE"
FIRST PIRATE,"PERICLES, PRINCE OF TYRE"
IRIS,MASTER OF A SHIP
MOWBRAY,DUCHESS OF YORK
DUCHESS,DUCHESS OF YORK
ALONSO,MASTER OF A SHIP
LYCHORIDA,"PERICLES, PRINCE OF TYRE"
GREGORY,THE TRAGEDY OF ROMEO AND JULIET
PHILIP,THE TAMING OF THE SHREW
LADY MONTAGUE,THE TRAGEDY OF ROMEO AND JULIET
SECOND LORD,THE LIFE OF TIMON OF ATHENS
GHOST OF ANNE,SHERIFF OF WILTSHIRE
FITZWATER,DUCHESS OF YORK
PRIEST,SHERIFF OF WILTSHIRE
CARLISLE,DUCHESS OF YORK
PAGE,SHERIFF OF WILTSHIRE
BOLINGBROKE,DUCHESS OF YORK
ROMEO,THE TRAGEDY OF ROMEO AND JULIET
GREMIO,THE TAMING OF THE SHREW
ANTIOCHUS,"PERICLES, PRINCE OF TYRE"
MARSHAL,DUCHESS OF YORK
SOME SPEAK,THE LIFE OF TIMON OF ATHENS
FIRST FISHERMAN,"PERICLES, PRINCE OF TYRE"
BUSHY,DUCHESS OF YORK
PHRYNIA AND TIMANDRA,THE LIFE OF TIMON OF ATHENS
EXTON,DUCHESS OF YORK
THIRD CITIZEN,SHERIFF OF WILTSHIRE
TIMON,THE LIFE OF TIMON OF ATHENS
FRANCISCO,MASTER OF A SHIP
LEONINE,"PERICLES, PRINCE OF TYRE"
GHOST OF HENRY,SHERIFF OF WILTSHIRE
THIRD SERVANT,THE LIFE OF TIMON OF ATHENS
SECOND LORD,"PERICLES, PRINCE OF TYRE"
SIMONIDES,"PERICLES, PRINCE OF TYRE"
CERIMON,"PERICLES, PRINCE OF TYRE"
CARDINAL,SHERIFF OF WILTSHIRE
BLUNT,SHERIFF OF WILTSHIRE
MERCUTIO,THE TRAGEDY OF ROMEO AND JULIET
FOURTH FRIEND,THE LIFE OF TIMON OF ATHENS
PROSPERO,MASTER OF A SHIP
MASTER,MASTER OF A SHIP
SECOND SENATOR,THE LIFE OF TIMON OF ATHENS
BOTH,"PERICLES, PRINCE OF TYRE"
PAGE,THE TRAGEDY OF ROMEO AND JULIET
KING HENRY,DUCHESS OF YORK
SERVILIUS,THE LIFE OF TIMON OF ATHENS
STEPHANO,MASTER OF A SHIP
THIRD SERVANT,THE TAMING OF THE SHREW
SECOND SERVANT,THE LIFE OF TIMON OF ATHENS
JEWELLER,THE LIFE OF TIMON OF ATHENS
FIRST LORD,THE LIFE OF TIMON OF ATHENS
MARINA,"PERICLES, PRINCE OF TYRE"
GHOST OF GREY,SHERIFF OF WILTSHIRE
MESSENGER,SHERIFF OF WILTSHIRE
PAGE,THE TAMING OF THE SHREW
CERES,MASTER OF A SHIP
BUCKINGHAM,SHERIFF OF WILTSHIRE
HASTINGS,SHERIFF OF WILTSHIRE
LADY CAPULET,THE TRAGEDY OF ROMEO AND JULIET
MESSENGER,"PERICLES, PRINCE OF TYRE"
LUCILIUS,THE LIFE OF TIMON OF ATHENS
CHORUS,THE TRAGEDY OF ROMEO AND JULIET
PARIS,THE TRAGEDY OF ROMEO AND JULIET
PHILOTUS,THE LIFE OF TIMON OF ATHENS
VENTIDIUS,THE LIFE OF TIMON OF ATHENS
THIRD KNIGHT,"PERICLES, PRINCE OF TYRE"
CUPID,THE LIFE OF TIMON OF ATHENS
SECOND SERVANT,THE TRAGEDY OF ROMEO AND JULIET
BIANCA,THE TAMING OF THE SHREW
LUCENTIO,THE TAMING OF THE SHREW
GHOST OF HASTINGS,SHERIFF OF WILTSHIRE
PRINCE,THE TRAGEDY OF ROMEO AND JULIET
SCROOP,DUCHESS OF YORK
PETER,THE TRAGEDY OF ROMEO AND JULIET
GAUNT,DUCHESS OF YORK
HARRY PERCY,DUCHESS OF YORK
ALL,SHERIFF OF WILTSHIRE
PAINTER,THE LIFE OF TIMON OF ATHENS
FIRST FRIEND,THE LIFE OF TIMON OF ATHENS
GHOST OF BUCKINGHAM,SHERIFF OF WILTSHIRE
ARIEL,MASTER OF A SHIP
THIRD SENATOR,THE LIFE OF TIMON OF ATHENS
POET,THE LIFE OF TIMON OF ATHENS
RICHARD,DUCHESS OF YORK
ANTONIO,MASTER OF A SHIP
LORDS,SHERIFF OF WILTSHIRE
GHOST OF RIVERS,SHERIFF OF WILTSHIRE
ALL,THE TAMING OF THE SHREW
BOY,SHERIFF OF WILTSHIRE
LUCULLUS,THE LIFE OF TIMON OF ATHENS
GREEN,DUCHESS OF YORK
PEDANT,THE TAMING OF THE SHREW
FIRST SAILOR,"PERICLES, PRINCE OF TYRE"
THIRD FRIEND,THE LIFE OF TIMON OF ATHENS
SECOND MURDERER,SHERIFF OF WILTSHIRE
YORK,SHERIFF OF WILTSHIRE
ABBOT,DUCHESS OF YORK
FIRST HUNTSMAN,THE TAMING OF THE SHREW
ALL LADIES,THE LIFE OF TIMON OF ATHENS
QUEEN ELIZABETH,SHERIFF OF WILTSHIRE
SENATOR,THE LIFE OF TIMON OF ATHENS
QUEEN MARGARET,SHERIFF OF WILTSHIRE
BOULT,"PERICLES, PRINCE OF TYRE"
PLAYERS,THE TAMING OF THE SHREW
ALL,THE LIFE OF TIMON OF ATHENS
NEL,THE TWO NOBLE KINSMEN
BROTHER,THE TWO NOBLE KINSMEN
GAOLER,THE TWO NOBLE KINSMEN
BANDITTI,THE LIFE OF TIMON OF ATHENS
ULYSSES,TROILUS AND CRESSIDA
ANDARUS,TROILUS AND CRESSIDA
HELENUS,TROILUS AND CRESSIDA
DAUGHTER,THE TWO NOBLE KINSMEN
SERVANT,THE TWO GENTLEMEN OF VERONA
THIRD OUTLAW,THE TWO GENTLEMEN OF VERONA
DAMAGE,INCIDENTAL DAMAGES EVEN IF YOU GIVE NOTICE OF THE POSSIBILITY OF SUCH
TROILUS,TROILUS AND CRESSIDA
AGAMEMNON,TROILUS AND CRESSIDA
YOUNG LUCIUS,THE TRAGEDY OF TITUS ANDRONICUS
SECOND OUTLAW,THE TWO GENTLEMEN OF VERONA
FIRST BANDIT,THE LIFE OF TIMON OF ATHENS
WOMAN,THE TWO NOBLE KINSMEN
MARIA,TROILUS AND CRESSIDA
DION,THE TWO NOBLE KINSMEN
MARGARELON,TROILUS AND CRESSIDA
LEONTES,THE TWO NOBLE KINSMEN
OUTLAWS,THE TWO GENTLEMEN OF VERONA
SERVANT,THE TWO NOBLE KINSMEN
OFFICER,THE TWO NOBLE KINSMEN
PERDITA,THE TWO NOBLE KINSMEN
NESTOR,TROILUS AND CRESSIDA
CASSANDRA,TROILUS AND CRESSIDA
ALL KNIGHTS,THE TWO NOBLE KINSMEN
SATURNINUS,THE TRAGEDY OF TITUS ANDRONICUS
SECOND AND THIRD KNIGHT,THE TWO NOBLE KINSMEN
FIRST OFFICER,TROILUS AND CRESSIDA
SECOND FRIEND,THE TWO NOBLE KINSMEN
MOPSA,THE TWO NOBLE KINSMEN
GOTH,THE TRAGEDY OF TITUS ANDRONICUS
DEMETRIUS,THE TRAGEDY OF TITUS ANDRONICUS
EGLAMOUR,THE TWO GENTLEMEN OF VERONA
BAVIAN,THE TWO NOBLE KINSMEN
MENELAUS,TROILUS AND CRESSIDA
ACHILLES,TROILUS AND CRESSIDA
HOST,THE TWO GENTLEMEN OF VERONA
DOCTOR,THE TWO NOBLE KINSMEN
SEBASTIAN,TROILUS AND CRESSIDA
FIRST QUEEN,THE TWO NOBLE KINSMEN
SECOND COUNTRYMAN,THE TWO NOBLE KINSMEN
POLIXENES,THE TWO NOBLE KINSMEN
JAILER,THE TWO NOBLE KINSMEN
ARCITE,THE TWO NOBLE KINSMEN
SECOND GOTH,THE TRAGEDY OF TITUS ANDRONICUS
AUTOLYCUS,THE TWO NOBLE KINSMEN
HIPPOLYTA,THE TWO NOBLE KINSMEN
OLIVIA,TROILUS AND CRESSIDA
FIRST OUTLAW,THE TWO GENTLEMEN OF VERONA
FIRST COUNTRYMAN,THE TWO NOBLE KINSMEN
HECTOR,TROILUS AND CRESSIDA
PRIEST,TROILUS AND CRESSIDA
CHIRON,THE TRAGEDY OF TITUS ANDRONICUS
SECOND OFFICER,TROILUS AND CRESSIDA
PATROCLUS,TROILUS AND CRESSIDA
ALL,THE TRAGEDY OF TITUS ANDRONICUS
MESSENGER,THE TWO NOBLE KINSMEN
LUCETTA,THE TWO GENTLEMEN OF VERONA
VIOLA,TROILUS AND CRESSIDA
THERSITES,TROILUS AND CRESSIDA
DUKE,TROILUS AND CRESSIDA
GOTHS,THE TRAGEDY OF TITUS ANDRONICUS
ANTONIO,TROILUS AND CRESSIDA
AGUECHEEK,TROILUS AND CRESSIDA
PUBLIUS,THE TRAGEDY OF TITUS ANDRONICUS
BOTH,THE LIFE OF TIMON OF ATHENS
TRIBUNES,THE TRAGEDY OF TITUS ANDRONICUS
THIRD COUNTRYMAN,THE TWO NOBLE KINSMEN
CAPTAIN,THE TRAGEDY OF TITUS ANDRONICUS
CURIO,TROILUS AND CRESSIDA
LORD,THE TWO NOBLE KINSMEN
VALENTINE,TROILUS AND CRESSIDA
SOLDIERS,TROILUS AND CRESSIDA
PIRITHOUS,THE TWO NOBLE KINSMEN
GENTLEMAN,THE TWO NOBLE KINSMEN
SECOND BANDIT,THE LIFE OF TIMON OF ATHENS
THIRD QUEEN,THE TWO NOBLE KINSMEN
ALL,THE TWO NOBLE KINSMEN
BOY,TROILUS AND CRESSIDA
LAVINIA,THE TRAGEDY OF TITUS ANDRONICUS
FIRST LADY,THE TWO NOBLE KINSMEN
TAMORA,THE TRAGEDY OF TITUS ANDRONICUS
CRESSIDA,TROILUS AND CRESSIDA
SERVANT,TROILUS AND CRESSIDA
PROTEUS,THE TWO GENTLEMEN OF VERONA
DIOMEDES,TROILUS AND CRESSIDA
PAULINA,THE TWO NOBLE KINSMEN
SECOND LADY,THE TWO NOBLE KINSMEN
CLOWN,THE TRAGEDY OF TITUS ANDRONICUS
PARIS,TROILUS AND CRESSIDA
ANDROMACHE,TROILUS AND CRESSIDA
FIRST GOTH,THE TRAGEDY OF TITUS ANDRONICUS
ANTONIO,THE TWO GENTLEMEN OF VERONA
WOOER,THE TWO NOBLE KINSMEN
ROMANS,THE TRAGEDY OF TITUS ANDRONICUS
ALL QUEENS,THE TWO NOBLE KINSMEN
MAMILLIUS,THE TWO NOBLE KINSMEN
SECOND GENTLEMAN,THE TWO NOBLE KINSMEN
LIMITED TO WARRANTIES OF MERCHANTABILITY OR FITNESS FOR ANY PURPOSE,"OTHER WARRANTIES OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT"
SIR ANDREW,TROILUS AND CRESSIDA
FABIAN,TROILUS AND CRESSIDA
PROLOGUE,THE TWO NOBLE KINSMEN
TABORER,THE TWO NOBLE KINSMEN
JULIA,THE TWO GENTLEMEN OF VERONA
ALL THE QUEENS,THE TWO NOBLE KINSMEN
CLOWN,TROILUS AND CRESSIDA
PALAMON,THE TWO NOBLE KINSMEN
SIR ANDREW AGUECHEEK,TROILUS AND CRESSIDA
NURSE,THE TRAGEDY OF TITUS ANDRONICUS
HELEN,TROILUS AND CRESSIDA
ALL,TROILUS AND CRESSIDA
THIRD BANDIT,THE LIFE OF TIMON OF ATHENS
LUCIUS,THE TRAGEDY OF TITUS ANDRONICUS
LANCE,THE TWO GENTLEMEN OF VERONA
FLORIZEL,THE TWO NOBLE KINSMEN
MALVOLIO,TROILUS AND CRESSIDA
HERALD,THE TWO NOBLE KINSMEN
FIRST LORD,THE TWO NOBLE KINSMEN
PANDARUS,TROILUS AND CRESSIDA
CAMILLO,THE TWO NOBLE KINSMEN
THIRD GENTLEMAN,THE TWO NOBLE KINSMEN
CLOWN,THE TWO NOBLE KINSMEN
DORCAS,THE TWO NOBLE KINSMEN
MESSENGER,THE TRAGEDY OF TITUS ANDRONICUS
SONG,THE TWO NOBLE KINSMEN
SCHOOLMASTER,THE TWO NOBLE KINSMEN
WILLIAM SHAKESPEARE,TO THE RIGHT HONOURABLE
EMILIA,THE TWO NOBLE KINSMEN
SHEPHERD,THE TWO NOBLE KINSMEN
SOLDIER,THE LIFE OF TIMON OF ATHENS
SILVIA,THE TWO GENTLEMEN OF VERONA
SPEED,THE TWO GENTLEMEN OF VERONA
MARTIUS,THE TRAGEDY OF TITUS ANDRONICUS
MARINER,THE TWO NOBLE KINSMEN
AEMILIUS,THE TRAGEDY OF TITUS ANDRONICUS
DUKE,THE TWO GENTLEMEN OF VERONA
MARCUS,THE TRAGEDY OF TITUS ANDRONICUS
HERMIONE,THE TWO NOBLE KINSMEN
FIRST KNIGHT,THE TWO NOBLE KINSMEN
THIRD KNIGHT,THE TWO NOBLE KINSMEN
PANTINO,THE TWO GENTLEMEN OF VERONA
CALCHAS,TROILUS AND CRESSIDA
THE ARGUMENT,TO THE RIGHT HONOURABLE
ANTIGONUS,THE TWO NOBLE KINSMEN
CAPTAIN,TROILUS AND CRESSIDA
FIRST FRIEND,THE TWO NOBLE KINSMEN
SECOND QUEEN,THE TWO NOBLE KINSMEN
ALEXANDER,TROILUS AND CRESSIDA
SIR TOBY,TROILUS AND CRESSIDA
BASSIANUS,THE TRAGEDY OF TITUS ANDRONICUS
QUINTUS,THE TRAGEDY OF TITUS ANDRONICUS
PRIAM,TROILUS AND CRESSIDA
MUTIUS,THE TRAGEDY OF TITUS ANDRONICUS
AJAX,TROILUS AND CRESSIDA
FOURTH COUNTRYMAN,THE TWO NOBLE KINSMEN
TIME,THE TWO NOBLE KINSMEN
FIRST ATTENDANT,THE TWO NOBLE KINSMEN
TITUS,THE TRAGEDY OF TITUS ANDRONICUS
THURIO,THE TWO GENTLEMEN OF VERONA
SECOND KNIGHT,THE TWO NOBLE KINSMEN
AARON,THE TRAGEDY OF TITUS ANDRONICUS
MYRMIDON,TROILUS AND CRESSIDA
BOTH,THE TWO NOBLE KINSMEN
FIRST GENTLEMAN,THE TWO NOBLE KINSMEN
VALENTINE,THE TWO GENTLEMEN OF VERONA
VALERIUS,THE TWO NOBLE KINSMEN
ARCHIDAMUS,THE TWO NOBLE KINSMEN
AENEAS,TROILUS AND CRESSIDA
DEIPHOBUS,TROILUS AND CRESSIDA
THESEUS,THE TWO NOBLE KINSMEN
